Name,Authors,Location,Recordings,"Duration (h)"
Namibia,Gandhi,https://github.com/LAAC-LSCP/namibia-data,113,1449
Solomon,Sarah,https://github.com/LAAC-LSCP/solomon-data,388,5954
Tsimane 2017,,https://github.com/LAAC-LSCP/tsimane2017-data,41,556
png 2019,,https://github.com/LAAC-LSCP/png2019-data,51,760
Vanuatu,,unavailable,53,289
